,faixa_etaria,genero,cidade,faixa_salarial,flag_filho,faixa_etaria_filho,dificuldade_infantil,reciclagem_tecido,objetivo_compra,dificuldade_compra,compra_roupa_usada,forma_trocou,seguranca_aplicativo,target
0,Entre 35 e 44 anos,Feminino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 9 e 14 anos,Preço;,Não,Comprar mais barato,Crescimento;,Sim,Doou;Trocou;,Não,Não
1,Entre 54 e 59 anos,Feminino,Barueri,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 15 e 17 anos,Crescimento;,Não,Comprar mais barato,Preço;,Não,Doou;,Sim,Sim
2,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Qualidade;Crescimento;,Não,Comprar mais barato,Qualidade;Crescimento;,Sim,Doou;,Sim,Sim
3,Menos de 18 anos,Feminino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Sim
4,Menos de 18 anos,Masculino,Sao Paulo,Classe A: superior a R$ 22 mil,Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Crescimento;,Não,Doou;,Sim,Sim
5,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;Trocou;Recebeu;,Não,Sim
6,Menos de 18 anos,Prefiro não me identificar,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;Trocou;Recebeu;,Não,Sim
7,Menos de 18 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;,Não,Sim
8,Menos de 18 anos,Feminino,Osasco,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Qualidade;,Sim,Recebeu;,Sim,Sim
9,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;,Sim,Sim
10,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;,Não,Não
11,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Qualidade;,Não,Chegue mais rápido,Qualidade;,Não,Doou;,Sim,Não
12,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Crescimento;,Não,Trocou;,Não,Sim
13,Menos de 18 anos,Masculino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preço;,Não,Doou;Recebeu;,Sim,Não
14,Menos de 18 anos,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preço;,Não,Doou;Recebeu;,Sim,Não
15,Menos de 18 anos,Masculino,Osasco,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Qualidade;,Sim,Chegue mais rápido,Crescimento;,Não,Recebeu;,Não,Não
16,Menos de 18 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
17,Entre 35 e 44 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 9 e 14 anos,Preço;,Não,Comprar mais barato,Preço;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
18,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;Recebeu;,Sim,Não
19,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Não
20,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Crescimento;,Não,Doou;,Não,Sim
21,Entre 25 e 34 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Sim,Entre 15 e 17 anos,Crescimento;,Não,Comprar mais barato,Crescimento;,Sim,Trocou;,Sim,Sim
22,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Sim,Comprar mais barato,Preco;Qualidade;Crescimento;,Não,Doou;Recebeu;,Sim,Não
23,60+,Feminino,Barueri,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preço;,Não,Doou;Recebeu;,Sim,Sim
24,Entre 35 e 44 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Menos de 8 anos,Preco;Qualidade;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Recebeu;,Sim,Sim
25,Entre 45 e 54 anos,Feminino,Sao Paulo,Classe A: superior a R$ 22 mil,Sim,Entre 9 e 14 anos,Preco;Qualidade;Crescimento;,Não,Chegue mais rápido,Preco;Qualidade;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
26,Entre 25 e 34 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 9 e 14 anos,Preço;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Sim
27,Menos de 18 anos,Masculino,Barueri,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Preço;,Sim,Comprar mais barato,Preço;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
28,Entre 35 e 44 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Qualidade;,Não,Doou;,Sim,Sim
29,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Crescimento;,Não,Doou;,Sim,Não
30,Entre 35 e 44 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 9 e 14 anos,Qualidade;,Sim,Chegue mais rápido,Qualidade;,Não,Doou;,Sim,Não
31,Menos de 18 anos,Masculino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Preço;,Não,Doou;Trocou;Recebeu;,Não,Não
32,Menos de 18 anos,Prefiro não me identificar,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;Trocou;,Não,Não
33,Menos de 18 anos,Masculino,Osasco,Classe A: superior a R$ 22 mil,Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Crescimento;,Não,Doou;Recebeu;,Não,Sim
34,Menos de 18 anos,Masculino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Preço;,Sim,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
35,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Sim,Chegue mais rápido,Preco;Qualidade;Crescimento;,Sim,Doou;Recebeu;,Não,Não
36,Menos de 18 anos,Prefiro não me identificar,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Sim,Chegue mais rápido,Preco;Crescimento;,Sim,Doou;Trocou;Recebeu;,Não,Sim
37,Menos de 18 anos,Masculino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preço;,Sim,Recebeu;,Não,Não
38,Menos de 18 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;Recebeu;,Não,Sim
39,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
40,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Chegue mais rápido,Preco;Qualidade;,Sim,Doou;Recebeu;,Sim,Sim
41,Entre 54 e 59 anos,Masculino,Santo André,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 25 e 34 anos,Preço;,Não,Chegue mais rápido,Preço;,Não,Trocou;,Não,Sim
42,Menos de 18 anos,Feminino,Osasco,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;,Sim,Sim
43,Entre 45 e 54 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 15 e 17 anos,Preço;,Não,Comprar mais barato,Preço;,Não,Doou;,Sim,Não
44,Menos de 18 anos,Feminino,Osasco,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Sim
45,Menos de 18 anos,Masculino,Osasco,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Crescimento;,Não,Doou;,Sim,Não
46,Entre 35 e 44 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Sim,Menos de 8 anos,Preco;Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
47,Menos de 18 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Crescimento;,Sim,Doou;Recebeu;,Não,Sim
48,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preço;,Sim,Chegue mais rápido,Preço;,Sim,Doou;,Sim,Sim
49,Menos de 18 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;,Não,Chegue mais rápido,Preco;Qualidade;,Sim,Doou;,Sim,Sim
50,Menos de 18 anos,Feminino,Sao Paulo,Classe A: superior a R$ 22 mil,Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Trocou;,Não,Sim
51,Menos de 18 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Sim
52,Entre 18 e 24 anos,Prefiro não me identificar,Sao Paulo,Classe A: superior a R$ 22 mil,Sim,Entre 18 e 24 anos,Crescimento;,Não,Chegue mais rápido,Crescimento;,Sim,Doou;,Não,Não
53,Menos de 18 anos,Masculino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Trocou;,Não,Não
54,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;,Sim,Não
55,Menos de 18 anos,Feminino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;,Sim,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;,Sim,Sim
56,Menos de 18 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Preço;,Sim,Doou;Recebeu;,Sim,Sim
57,60+,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 35 e 44 anos,Preço;,Não,Comprar mais barato,Preço;,Sim,Trocou;,Não,Sim
58,Entre 54 e 59 anos,Masculino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Sim,Menos de 8 anos,Preço;,Não,Comprar mais barato,Preço;,Sim,Trocou;,Sim,Sim
59,Entre 18 e 24 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Qualidade;,Não,Chegue mais rápido,Qualidade;,Não,Doou;,Sim,Não
60,Entre 35 e 44 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Sim,Entre 15 e 17 anos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;,Sim,Sim
61,Menos de 18 anos,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Qualidade;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;,Sim,Sim
62,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Preço;,Não,Doou;Recebeu;,Sim,Sim
63,Menos de 18 anos,Masculino,Itaquaquecetuba,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preço;,Não,Doou;,Sim,Sim
64,60+,Feminino,Campinas,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 35 e 44 anos,Preço;,Não,Comprar mais barato,Qualidade;,Não,Doou;,Sim,Sim
65,Menos de 18 anos,Masculino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;,Sim,Comprar mais barato,Preco;Qualidade;,Sim,Doou;,Não,Não
66,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;,Sim,Sim
67,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Crescimento;,Sim,Comprar mais barato,Preco;Crescimento;,Sim,Doou;Trocou;,Sim,Sim
68,Menos de 18 anos,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Preço;,Não,Doou;,Sim,Sim
69,Entre 45 e 54 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 15 e 17 anos,Preço;,Não,Comprar mais barato,Preço;,Sim,Doou;,Não,Sim
70,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;Recebeu;,Sim,Não
71,Entre 54 e 59 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Sim,Entre 25 e 34 anos,Preço;,Não,Comprar mais barato,Preço;,Sim,Trocou;,Sim,Sim
72,60+,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 25 e 34 anos,Preço;,Não,Chegue mais rápido,Preço;,Não,Doou;,Sim,Sim
73,Menos de 18 anos,Masculino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Preco;Qualidade;,Não,Comprar mais barato,Preco;Crescimento;,Sim,Doou;Recebeu;,Sim,Sim
74,Menos de 18 anos,Masculino,Sao Paulo,Classe A: superior a R$ 22 mil,Não,Nao tem filhos,Qualidade;,Não,Comprar mais barato,Qualidade;,Não,Trocou;,Sim,Sim
75,Menos de 18 anos,Feminino,Osasco,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Qualidade;,Não,Chegue mais rápido,Qualidade;,Não,Doou;Recebeu;,Sim,Não
